"LOKALITA","rok","pocet_dni"
"Karlova_Studanka",2013,99
"Karlova_Studanka",2015,42
"Karlova_Studanka",2016,5
"Karlova_Studanka",2017,55
"Karlova_Studanka",2018,48
"Karlova_Studanka",2019,55
"Karlova_Studanka",2020,19
"Karlova_Studanka",2021,79
"Karlova_Studanka",2022,56
"Karlova_Studanka",2023,47
"Katterjakk",1990,206
"Katterjakk",1991,203
"Katterjakk",1992,243
"Katterjakk",1993,254
"Katterjakk",1994,241
"Katterjakk",1995,233
"Katterjakk",1996,233
"Katterjakk",1997,251
"Katterjakk",1998,232
"Katterjakk",1999,196
"Katterjakk",2000,174
"Katterjakk",2001,205
"Katterjakk",2002,165
"Katterjakk",2003,206
"Katterjakk",2004,202
"Katterjakk",2005,198
"Katterjakk",2006,213
"Katterjakk",2007,210
"Katterjakk",2008,206
"Katterjakk",2009,232
"Katterjakk",2010,232
"Katterjakk",2011,186
"Katterjakk",2012,227
"Katterjakk",2013,212
"Katterjakk",2014,216
"Katterjakk",2015,203
"Katterjakk",2016,179
"Katterjakk",2017,229
"Katterjakk",2018,172
"Katterjakk",2019,165
"Katterjakk",2020,142
"Katterjakk",2021,145
"Katterjakk",2022,102
"Katterjakk",2023,109
"Kiruna",1996,26
"Kiruna",1997,16
"Kiruna",1998,19
"Kiruna",1999,5
"Kiruna",2000,7
"Kiruna",2001,7
"Kiruna",2002,5
"Kiruna",2003,6
"Kiruna",2004,4
"Kiruna",2005,6
"Kiruna",2006,5
"Kiruna",2007,6
"Kiruna",2008,10
"Kiruna",2009,9
"Kiruna",2010,8
"Kiruna",2021,55
"Kiruna",2022,156
"Kiruna",2023,206
"Klippen_D",1990,194
"Klippen_D",1991,204
"Klippen_D",1992,221
"Klippen_D",1993,215
"Klippen_D",1994,208
"Klippen_D",1995,190
"Klippen_D",1996,202
"Klippen_D",1997,194
"Klippen_D",1998,187
"Klippen_D",1999,147
"Klippen_D",2000,168
"Klippen_D",2001,185
"Klippen_D",2002,195
"Klippen_D",2003,189
"Klippen_D",2004,192
"Klippen_D",2005,161
"Klippen_D",2006,187
"Klippen_D",2007,181
"Klippen_D",2008,167
"Klippen_D",2009,189
"Klippen_D",2010,204
"Klippen_D",2011,144
"Klippen_D",2012,205
"Klippen_D",2013,186
"Klippen_D",2014,172
"Klippen_D",2015,164
"Klippen_D",2016,191
"Klippen_D",2017,192
"Klippen_D",2018,173
"Labskabouda",1990,145
"Labskabouda",1991,171
"Labskabouda",1992,211
"Labskabouda",1993,164
"Labskabouda",1994,161
"Labskabouda",1995,167
"Labskabouda",1996,159
"Labskabouda",1997,150
"Labskabouda",1998,118
"Labskabouda",1999,90
"Labskabouda",2002,7
"Labskabouda",2003,134
"Labskabouda",2004,167
"Labskabouda",2005,183
"Labskabouda",2006,129
"Labskabouda",2007,170
"Labskabouda",2008,159
"Labskabouda",2009,152
"Labskabouda",2010,160
"Labskabouda",2011,132
"Labskabouda",2012,167
"Labskabouda",2013,157
"Labskabouda",2014,116
"Labskabouda",2015,164
"Labskabouda",2016,174
"Labskabouda",2017,188
"Labskabouda",2018,134
"Labskabouda",2019,166
"Labskabouda",2020,135
"Labskabouda",2021,174
"Labskabouda",2022,161
"Labskabouda",2023,170
"Maristova",1990,158
"Maristova",1991,146
"Maristova",1992,198
"Maristova",1993,165
"Maristova",1994,160
"Maristova",1995,155
"Maristova",1996,141
"Maristova",1997,152
"Maristova",1998,161
"Maristova",1999,171
"Maristova",2000,131
"Maristova",2001,176
"Maristova",2002,196
"Maristova",2003,141
"Maristova",2004,159
"Maristova",2005,163
"Maristova",2006,167
"Maristova",2007,167
"Maristova",2008,178
"Maristova",2009,128
"Maristova",2010,151
"Maristova",2011,144
"Maristova",2012,136
"Maristova",2013,135
"Maristova",2014,133
"Maristova",2015,172
"Maristova",2016,122
"Maristova",2017,177
"Maristova",2018,122
"Maristova",2019,151
"Maristova",2020,169
"Maristova",2021,119
"Maristova",2022,141
"Maristova",2023,171
"MosstrandII",1990,168
"MosstrandII",1991,182
"MosstrandII",1992,208
"MosstrandII",1993,197
"MosstrandII",1994,204
"MosstrandII",1995,156
"MosstrandII",1996,160
"MosstrandII",1997,202
"MosstrandII",1998,187
"MosstrandII",1999,170
"MosstrandII",2000,198
"MosstrandII",2001,179
"MosstrandII",2002,207
"MosstrandII",2003,185
"MosstrandII",2004,151
"MosstrandII",2005,137
"MosstrandII",2006,129
"MosstrandII",2013,26
"MosstrandII",2014,145
"MosstrandII",2015,123
"MosstrandII",2016,145
"MosstrandII",2017,114
"MosstrandII",2018,141
"MosstrandII",2019,153
"MosstrandII",2020,155
"MosstrandII",2021,132
"MosstrandII",2022,114
"MosstrandII",2023,189
"PecpodSnezkou",1990,48
"PecpodSnezkou",1991,110
"PecpodSnezkou",1992,145
"PecpodSnezkou",1993,114
"PecpodSnezkou",1994,115
"PecpodSnezkou",1995,170
"PecpodSnezkou",1996,140
"PecpodSnezkou",1997,80
"PecpodSnezkou",1998,70
"PecpodSnezkou",1999,123
"PecpodSnezkou",2000,122
"PecpodSnezkou",2001,133
"PecpodSnezkou",2002,112
"PecpodSnezkou",2003,108
"PecpodSnezkou",2004,122
"PecpodSnezkou",2005,145
"PecpodSnezkou",2006,108
"PecpodSnezkou",2007,103
